Stages	CYR61	HSPA6	RGS1	BTG2	ATF3	ETV3	PTGS2	EGR4	EGR1	DUSP1	CDKN1A	TRIB1	NR4A3	DUSP5	EGR2	NPAS4	NR4A1	FOS	JUNB	FOSB	PPP1R15A	SIK1	GPR183	NEDD9	SPRY2
Stage_3	4.93525	5.63076	3.77459	6.42234	4.12642	7.40474	5.78083	5.65932	7.09992	9.47857	4.47199	9.12856	7.90277	5.52103	4.85498	4.88933	5.14167	5.52463	7.03079	5.51457	8.18144	8.51791	4.32387	9.12101	8.6424
Stage_3	4.29319	6.21299	4.87352	6.99191	4.23746	7.30105	4.13425	5.7842	5.75622	8.04872	5.12528	9.68326	8.28156	5.46068	4.90834	4.73101	5.41666	4.54154	7.01914	5.53299	7.96698	8.95155	5.21978	9.04226	8.30192
Stage_3	5.14096	6.06896	4.7492	6.7943	4.49901	7.22102	4.48839	6.16466	5.95349	8.45477	5.19822	9.63163	8.11477	5.15143	4.67894	4.13872	5.23378	4.95361	6.56625	5.70533	8.08488	8.86931	5.31561	9.59271	9.26669
Stage_3	5.97986	5.88897	4.03395	7.69848	4.10791	7.34884	3.7585	5.94941	6.28978	8.23184	5.30975	7.62626	6.55215	5.35563	4.81794	5.72295	5.18796	5.3265	6.86396	5.26357	8.15885	6.51442	4.41279	7.91699	9.78132
Stage_3	5.24486	5.96963	4.22423	6.60747	4.33382	6.92229	4.08031	5.81669	6.87073	8.08252	5.24251	8.09077	6.52744	5.30708	4.8682	5.57446	5.26367	5.15345	6.67686	5.33053	8.02433	5.85793	4.36877	7.67028	9.47793
Stage_3	5.30264	5.97657	3.83198	6.57166	4.66322	7.17719	3.97872	5.66058	6.60355	7.97591	5.30252	9.12434	5.28539	5.8974	4.59845	4.57484	5.3302	5.34306	6.52921	5.55003	8.82881	6.64128	4.48429	5.70681	9.27277
Stage_3	5.00888	6.14201	3.6816	6.3743	4.81911	7.1679	4.15797	5.68646	6.79931	7.69388	5.20241	9.01497	5.28485	5.74905	4.65629	4.71223	5.34241	5.27603	6.7142	5.46949	8.57735	7.01254	4.37813	5.83873	9.57141
Stage_3	4.61473	5.80125	4.87024	6.76899	4.13544	7.26827	6.62502	6.28231	6.75989	8.52898	5.4121	9.12963	8.09635	6.168	5.22613	4.79127	5.85606	5.72249	6.84407	5.82611	7.48578	7.98972	5.52136	7.57033	7.65464
Stage_3	4.66944	6.15724	4.4321	6.93038	4.40156	7.3051	6.66927	5.96297	5.98181	9.26485	5.60722	9.2134	8.0603	6.06745	4.78079	4.56943	5.41803	4.88569	7.20161	5.50162	7.78898	7.92071	5.23847	7.74788	7.86171
Stage_3	5.86092	5.96328	4.44792	7.30048	4.83806	7.30242	3.98467	6.07849	6.25887	7.72427	6.75057	7.89359	8.74117	5.89653	5.02009	4.58175	5.49673	5.1033	7.5331	5.64474	7.35264	7.24258	5.41815	8.54435	8.83987
Stage_3	6.14537	5.60015	4.35068	7.21018	4.15211	7.57083	3.70766	5.93298	6.359	8.34964	5.59142	8.0047	8.7617	6.29648	4.86258	4.46371	5.2152	5.26227	6.07704	5.3631	7.47829	7.09625	4.65477	8.88541	8.8367
